name,latitude,longitude,contact,email,rprkid,,
Beedelup Campsite,-34.41164882,115.8768475,+61 (08) 9776 1207,donnellyd@dbca.wa.gov.au,NULL,,
Beedelup National Park,-34.40067777,115.8611727,NULL,NULL,NULL,,
Beeliar,-32.21730042,115.8399963,+61 (0)8 9442 0300,regional.parks@dbca.wa.gov.au,901,,
Beelu,-31.94140053,116.1429977,+61 (0)8 9295 2244,perthhills@dbca.wa.gov.au,1045,,
Benwenerup (formerly Stokes) National Park,-33.83169937,121.086998,+61 (08) 9083 2100,esperance_admin@dbca.wa.gov.au,310,,
Beraking Campsite,-32.06286452,116.2995958,NULL,NULL,NULL,,
Bibbulmum Track - Mount Hallowell near Denmark,-35.00022539,117.312355,+61 (08) 9840 0400,frankland.district@dbca.wa.gov.au,NULL,,
Bibbulmun Track,-32.54681317,116.0678101,NULL,NULL,NULL,,
Bibbulmun Track - Beedelup National Park,-34.39064473,115.8518332,NULL,NULL,1114,,
Bibbulmun Track - Between Balingup and Spring Valley Road,-33.78827854,115.9848976,NULL,NULL,NULL,,
Bibbulmun Track - Glen Mervyn Dam,-33.50077627,116.094954,(08) 9735 1988,wellington@dbca.wa.gov.au,10002,,
Bibbulmun Track - Helena National Park,-31.9809734,116.2494385,+61 (08) 9290 6100,mundaring@dbca.wa.gov.au,NULL,,
Bibbulmun Track - Map 6b,-34.94374536,116.5659113,NULL,NULL,NULL,,
Bibbulmun Track - Wilson Inlet,-35.02661752,117.3306048,(08) 9842 4500.,albany@dbca.wa.gov.au,NULL,,
Bibbulmun Track Balingup,-33.78689957,115.9840012,+61 (0)8 9731 6232,blackwood@dbca.wa.gov.au,10003,,
Bibbulmun Track Blackwood,-33.66656819,116.0240793,NULL,NULL,NULL,,
Bibbulmun Track Blackwood Campsite,-33.87739926,115.9657574,+61 (0)8 9752 5555,blackwood@dbca.wa.gov.au,NULL,,
Bibbulmun Track Blackwood Shelter,-33.87782681,115.9657574,+61 (0)8 9752 5555,blackwood@dbca.wa.gov.au,NULL,,
Bibbulmun Track Collie,-33.35910034,116.1500015,+61 (0)8 9735 1988,wellington@dbca.wa.gov.au,10002,,
Bibbulmun Track Dale,-32.15968081,116.3172149,+61 (08) 9290 6100 ,mundaring@dbca.wa.gov.au,NULL,,
Bibbulmun Track Darling Range,-31.97310066,116.060997,+61 (0)8 9290 6100,mundaring@dbca.wa.gov.au,10000,,
Bibbulmun Track Denmark,-35.02191347,117.2748524,(08) 9840 0400,frankland.district@dbca.wa.gov.au,NULL,,
Bibbulmun Track Denmark Albany,-34.9693985,117.3659973,+61 (0)8 9842 4500,albany@dbca.wa.gov.au,10008,,
Bibbulmun Track Dog Pool Campsite,-34.76352718,116.3761091,+61 (08) 9776 1207,donnellyd@dbca.wa.gov.au,NULL,,
Bibbulmun Track Donnelly River,-34.10250092,115.9779968,+61 (0)8 9776 1207,pemberton@dbca.wa.gov.au,10004,,
Bibbulmun Track Donnelly River Village,-34.1207225,115.978117,+61 (0)8 9776 1207,donnellyd@dbca.wa.gov.au,NULL,,
Bibbulmun Track Dwellingup,-32.71179962,116.0630035,+61 (0)8 9538 1078,lanepoolereserve@dbca.wa.gov.au,10001,,
Bibbulmun Track Gleneagle,-32.28051534,116.2265015,+61 (08) 9290 6100,mundaring@dbca.wa.gov.au,NULL,,
Bibbulmun Track Helena National Park,-31.9694472,116.2134647,NULL,NULL,NULL,,
Bibbulmun Track Jarrahdale,-32.329112,116.2399435,NULL,NULL,NULL,,
Bibbulmun Track Kalamunda,-31.95811572,116.1289844,+61 (08) 9290 6100,mundaring@dbca.wa.gov.au,10000,,
Bibbulmun Track Lake Maringup,-34.82991933,116.1922455,+61 (08) 9776 1207,donnellyd@dbca.wa.gov.au,10006,,
Bibbulmun Track Mundaring,-31.98004589,116.2482111,9290 6100,mundaring@dbca.wa.gov.au,NULL,,
Bibbulmun Track Nerang,-32.4616014,116.3765907,+61 (08) 9290 6100 ,mundaring@dbca.wa.gov.au,NULL,,
Bibbulmun Track Northcliffe,-34.6332016,116.1240005,+61 (0)8 9776 1207,pemberton@dbca.wa.gov.au,10006,,
Bibbulmun Track Pemberton,-34.44609833,116.0329971,+61 (0)8 9776 1207,pemberton@dbca.wa.gov.au,10005,,
Bibbulmun Track Pingerup Raod,-34.80161781,116.451149,+61 (08) 9840 0400,frankland.district@dbca.wa.gov.au,10007,,
Bibbulmun Track Preston,-33.60494799,116.0692263,NULL,NULL,NULL,,
Bibbulmun Track Rame Head Campsite,-35.04630031,116.8596196,+61 (0)8 9840 0400,frankland.district@dbca.wa.gov.au,NULL,,
Bibbulmun Track Walpole,-34.9754982,116.7279968,+61 (0)8 9840 0400,frankland@dbca.wa.gov.au,10007,,
Bibbulmun Track Warren Campsite,-34.50900916,116.0972869,+61 (08) 9776 1207,donnellyd@dbca.wa.gov.au,NULL,,
Bibbulmun Track Woolbales Campsite,-34.94422154,116.5659165,+61 (08) 9840 0400,frankland.district@dbca.wa.gov.au,10007,,
Big Brook,-34.39139938,116.0070038,+61 (0)8 9776 1207,donellyd@dbca.wa.gov.au,541,,
Blackwood Campsite,-33.87739926,115.9661007,NULL,NULL,NULL,,
Blackwood River,-34.07109833,115.3570023,+61 (0)8 9752 5555,blackwood@dbca.wa.gov.au,35,,
Bluff Knoll,-34.36776991,118.2421991,NULL,NULL,NULL,,
Bluff Knoll and The Stirling Range Ridge Walk,-34.37408792,118.2560806,+61 (08) 9842 4500,albany@dbca.wa.gov.au,231,,
Boarding House Campsite,-34.28054743,115.9309316,NULL,NULL,NULL,,
Boat Harbour Campsite,-35.03329437,117.0679522,NULL,NULL,NULL,,
Boodie Island,-20.91229927,115.3284645,+61 (08) 9182 2000,karratha@dbca.wa.gov.au,NULL,,
Boom Boom Trail,-32.77966292,116.0825008,+61 (08) 9538 1078,lanepoolereserve@dbca.wa.gov.au,721,,
Boondi Rock,-31.181045,120.385668,+61 (08) 9080 5555,kalgoorlie@dbca.wa.gov.au,NULL,,
Booner Mundak Hut,-34.84567666,116.9414927,+61 (08) 9840 0400,frankland.district@dbca.wa.gov.au,12007,,
Boorabbin,-31.23329926,120.1650009,+61 (08) 9080 5555,kalgoorlie@dbca.wa.gov.au,181,,
Boorara - Gardner,-34.69010162,116.2600021,+61 (0)8 9776 1207,donellyd@dbca.wa.gov.au,531,,
Boranup Campground,-34.17804047,115.067794,NULL,NULL,NULL,,
Boranup Drive,-34.11443385,115.0576472,NULL,NULL,NULL,,
"Boylan Trail, Mt Lennard",-33.40528678,115.8605424,NULL,NULL,NULL,,
Bramley,-33.95949936,115.1149979,+61 (0)8 9752 5555,blackwood@dbca.wa.gov.au,37,,
Brides Cave,-34.08640014,115.0396228,+61 (08) 9752 5555,blackwood@dbca.wa.gov.au,120,,
Bridge works adjacent to the Trail - Map 9b,-35.0224055,117.6771355,9420 2883,NULL,NULL,,
Brockway Timber Reserve,-32.30960119,121.7761231,+61 (08) 9083 2100,esperance_admin@dbca.wa.gov.au,334,,
Brookton Campsite,-32.18469313,116.2998104,NULL,NULL,NULL,,
Bundegi Boat Ramp,-21.83145,114.17435,(08) 9947 8000,exmouth@dbca.wa.gov.au,NULL,,
"Bundegi Coastal Park, Jurabi Coastal Park and Ningaloo Marine Park",-22.86179924,113.7399979,(08) 9947 8000,exmouth@dbca.wa.gov.au,NULL,,
"Bundegi Coastal Reserve, Jurabi Coastal Reserve",-21.86895655,114.1496658,NULL,NULL,NULL,,
Burra,-31.3885994,121.1969986,+61 (0)8 9080 5555,kalgoorlie@dbca.wa.gov.au,187,,
Burra Rock,-31.393301,121.201998,+61 (08) 9080 5555,kalgoorlie@dbca.wa.gov.au,NULL,,
Busselton Jetty,-33.64400071,115.3446382,NULL,NULL,NULL,,
Calgardup Cave,-34.05031267,115.0249189,NULL,NULL,NULL,,
Cambray State Forest,-33.90498656,115.6835227,+61 (08) 9752 5555,blackwood@dbca.wa.gov.au,35,,
Camp Creek Conservation Reserve,-14.88696825,125.8254866,+61 (08) 9168 4200,kununurra@dbca.wa.gov.au,NULL,,
Camp Quaranup,-35.05335678,117.9130304,+61 (08) 9842 4500,albany@dbca.wa.gov.au,234,,
Canning Campsite,-32.24184408,116.2521744,NULL,NULL,NULL,,
Canning River,-32.02170181,115.9280014,+61 (0)8 9442 0300,regional.parks@dbca.wa.gov.au,866,,
Cape Arid,-33.51900101,123.3690033,+61 (0)8 9083 2100,esperance_admin@dbca.wa.gov.au,334,,
Cape Le Grand,-33.95190048,122.2210007,+61 (0)8 9083 2100,esperance_admin@dbca.wa.gov.au,333,,
Cape Leeuwin Lighthouse,-34.37159252,115.1359992,+61 (08) 9752 5555,blackwood@dbca.wa.gov.au,NULL,,
Cape Range,-22.15870094,113.8679962,+61 (0)8 9949 2808,cape.range@dbca.wa.gov.au,410,,
Cape to Cape - Margaret Rivermouth,-33.97124437,114.9868262,(08) 9752 5555,NULL,NULL,,
Cape to Cape Track,-33.67330067,114.9986708,NULL,NULL,NULL,,
Captain Fawcett 4WD Track,-32.83450261,116.0899289,+61 (08) 9538 1078,lanepoolereserve@dbca.wa.gov.au,721,,
Captain Fawcett Track,-32.83436553,116.089721,NULL,NULL,NULL,,
Cardac and Mooralup Forest Blocks,-34.26431021,116.2717438,+61 (0)8 9776 1207,donnellyd@dbca.wa.gov.au,NULL,,
"Cardac, Mooralup and Yeticup state forests",-34.28870348,116.3100243,NULL,NULL,NULL,,
Carinyah Campsite / NE of Canning Reservoir,-32.09532685,116.163168,+61 (0)8 9290 6100,mundaring@dbca.wa.gov.au,NULL,,
Carnac Island,-32.12179947,115.663002,+61 (0)8 9303 7700,wanneroo@dbca.wa.gov.au,885,,
Castle Rock,-34.69384299,117.9275587,+61 (08) 9842 4500,albany@dbca.wa.gov.au,233,,
Cave Hill,-31.40056,121.14101,+61 (08) 9080 5555,kalgoorlie@dbca.wa.gov.au,NULL,,
Cave Hill Conservation Park,-31.74627025,121.1469269,+61 (0)8 9080 5555,NULL,NULL,,
Caveworks and Lake Cave,-34.07916254,115.0298274,NULL,NULL,NULL,,
Chadoora Campsite,-32.75884023,116.2391281,NULL,NULL,NULL,,
Chariup Forest Block,-34.25778397,116.7125702,+61 (0)8 9776 1207,donnellyd@dbca.wa.gov.au,NULL,,
Chimney Trail Loop,-33.93107368,115.0785202,NULL,NULL,NULL,,
Coalfields Highway,-33.32035116,115.9820478,NULL,NULL,NULL,,
Coalseam,-28.96279907,115.5540009,+61 (0)8 9964 0901,geraldtonenquiries@dbca.wa.gov.au,703,,
"Cobiac forest block, Jarrahdale State Forest",-32.33268626,116.1771584,+61 (0)8 9290 6100,mundaring@dbca.wa.gov.au,NULL,,
Collie,-33.35877851,116.1576748,NULL,NULL,NULL,,
Collie State Forest,-33.35331516,116.0911748,(08) 9735 1988,wellington@dbca.wa.gov.au,NULL,,
Collier Range,-24.65189934,119.0719986,+61 (08) 9182 2000,karratha@dbca.wa.gov.au,429,,
Collins and Nairn State Forests,-34.470619,116.155889,+61 (0)8 9776 1207,donnellyd@dbca.wa.gov.au,NULL,,
Construction diversion - Ordnance Bridge - map 7b,-34.8346592,116.5615726,+61 (0)8 9840 0400,frankland.district@dbca.wa.gov.au,NULL,,
Conto Campground,-34.08218384,115.0113094,NULL,NULL,NULL,,
Conto Spring,-34.08376776,115.0033296,+61 (08) 9752 5555,blackwood@dbca.wa.gov.au,NULL,,
Conto Springs (Conto Coastal Day Use site),-34.08369,115.0032386,NULL,NULL,NULL,,
Coral Bay,-23.141663,113.773162,NULL,NULL,NULL,,
Coulomb Point Nature Reserve,-17.32493064,122.3010395,+61 (08) 9195 5500,broome@dbca.wa.gov.au,NULL,,
Credo,-30.36520004,120.7779999,+61 (08) 9080 5555,kalgoorlie@dbca.wa.gov.au,1060,,
Credo Campground,-30.459176,120.823576,+61 (08) 9080 5555,kalgoorlie@dbca.wa.gov.au,NULL,,
Creery Wetland Nature Reserve,-32.55430121,115.7322121,+61 (08) 9303 7700,wanneroo@dbca.wa.gov.au,NULL,,
Creery Wetlands Nature Reserve,-32.55605556,115.7322764,+61 (08) 9303 7750,mandurah@dbca.wa.gov.au,NULL,,
Crowea Forest Block,-34.50429324,116.1617088,+61 (0)8 9776 1207,donnellyd@dbca.wa.gov.au,NULL,,
D'Entrecasteaux,-34.77899933,116.0270004,+61 (0)8 9776 1207,pemberton@dbca.wa.gov.au,561,,
D'Entrecasteaux National Park,-34.8735033,116.5321434,NULL,NULL,NULL,,
Dales Campground,-22.4704872,118.5519326,+61 (08) 9189 8121,karijini@dbca.wa.gov.au,420,,
"Dales Campground, Karijini National Park",-22.47271387,118.5441956,Judy-Mae Napier,kariijini@dbca.wa.gov.au,NULL,,
Dalmanyi (Bell Gorge),-16.9993467,125.2070701,+61 (08) 9168 4200,kununurra@dbca.wa.gov.au,NULL,,
Danggu Geikie Gorge,-18.07579994,125.7060013,(08) 9191 5112,broome@dbca.wa.gov.au,994,,
DBCA - Walpole Office,-35.03044277,117.1614861,(08) 9840 0400,NULL,NULL,,
DBCA Broome Office,-17.97131744,122.2323985,+61 (08) 9195 5500,broome@dbca.wa.gov.au,NULL,,
Deanmill,-34.25036188,116.0826244,NULL,NULL,NULL,,
Denmark,-35.02689866,117.3311841,NULL,NULL,NULL,,
Denmark Catchment State Forest,-34.89520175,117.2578955,+61 (0)8 9840 0400,frankland.district@dbca.wa.gov.au,NULL,,
"Department of Biodiversity, Conservation and Attractions",-31.99639368,115.8887243,+61 (0)8 9448 8150,admin@facet.asn.au,NULL,,
Diamond,-34.31919861,116.1220016,+61 (0)8 9776 1207,donellyd@dbca.wa.gov.au,503,,
Dick Perry Reserve,-31.79498574,115.9201102,Swan Region,swanregion@dbca.wa.gov.au,NULL,,
Dimalurru (Tunnel Creek),-17.6107,125.14399,(08) 9195 5500,broome@dbca.wa.gov.au,998,,
Dingup Forest Block,-34.3143043,116.2204599,Donnelly District (08)9776 1207,donnellyd@dbca.wa.gov.au,NULL,,
Dirk Hartog Island,-25.82600021,113.052002,+61 (0)8 9948 2226,denham@dbca.wa.gov.au,1052,,
Dog Pool Campsite,-34.76367487,116.3761139,NULL,NULL,NULL,,
"Dog Road, Shannon National Park",-34.71250506,116.4110094,NULL,NULL,NULL,,
Dookanelly Campsite,-32.95797741,116.2153101,NULL,NULL,NULL,,
Dookanelly Campsite / S of Dwellingup,-32.95778777,116.2151814,+61 (0)8 9290 6100,mundaring@dbca.wa.gov.au,NULL,,
Drovers Cave,-30.23390007,115.0920029,+61 (0)8 9688 6000,jurien@dbca.wa.gov.au,1081,,
Dryandra Woodland,-32.79750061,116.9089966,+61 (0)8 9881 9200,narrogin@dbca.wa.gov.au,128,,
Drysdale River,-15.0468998,126.7210007,+61 (0)8 9168 4200,kununurra@dbca.wa.gov.au,631,,
Dulundi Silent Grove,-17.05767867,125.2481321,+61 (08) 9168 4200,kununurra@dbca.wa.gov.au,NULL,,
Dundas Nature Reserve,-32.446942,122.590393,+61 (08) 9083 2100,esperance_admin@dbca.wa.gov.au,333,,
Dwellingup,-32.78026018,116.0830852,+61 (08) 9290 6100,mundaring@dbca.wa.gov.au,NULL,,
E of Jarrahdale/Monadnocks Campsite,-32.3114139,116.230073,(08) 9290 6100,mundaring@dbca.wa.gov.au,NULL,,
E of Stirling Dam,-33.1112951,116.12257,+61 (0)8 9735 1988,wellington@dbca.wa.gov.au,NULL,,
East Of Jarrahdale,-32.33000183,116.1699982,(08) 9295 1955,NULL,NULL,,
East Wallabi Island - Houtman Abrolhols Islands National Park,-28.43684582,113.7280655,+61 (0)8 9964 0901,geraldtonenquiries@dbca.wa.gov.au,NULL,,
Eclipse Island Road,-35.09550861,117.8813159,+61 (0)8 9842 4500,albany_admin@dbca.wa.gov.au,NULL,,
Edel Land (proposed) National Park,-26.20483534,113.2323517,+61 (0)8 9948 2226,denham@dbca.wa.gov.au,NULL,,
Edel Land National Park,-26.24538801,113.2498169, +61 (0)8 9948 2226,sharkbayenquiries@dpaw.wa.gov.au,NULL,,
Edel Land proposed National Park (Steep Point),-26.14295962,113.160268,NULL,NULL,NULL,,
Eighty Mile Beach,-19.64259911,120.8830032,+61 (08) 9195 5500,broome@dbca.wa.gov.au,1130,,
Elephant Rocks - William Bay National Park,-35.02549685,117.2370037,(08) 9840 0400 ,NULL,NULL,,
False Entrance Campground,-26.39797564,113.3046471,+61 (08) 9948 2226,sharkbayenquiries@dbca.wa.gov.au,1051,,
Ferguson Road,-33.43470714,115.8434835,NULL,NULL,NULL,,
Ferndale and Lewana Plantation,-33.80587164,115.9516343,+61 (08) 9752 5555,blackwood@dbca.wa.gov.au,35,,
Fisherman's Track,-34.985,116.517,+61 (08) 98400400,frankland.district@dbca.wa.gov.au,NULL,,
Fitzgerald River,-33.99259949,119.6289978,+61 (08) 9842 4500,albany_admin@dpaw.wa.gov.au,232,,
Flint Forest Block,-32.08373812,116.1320114,NULL,NULL,NULL,,
Forest Grove,-34.09899902,115.1330032,+61 (08) 9752 5555,blackwood@dbca.wa.gov.au,1127,,
"Forsyths Mill, Perth Hills",-31.90317336,116.2645823,NULL,NULL,NULL,,
Francois Peron,-25.69829941,113.5070038,+61 (0)8 9948 2226,denham@dbca.wa.gov.au,864,,
Frank Hann,-32.87720108,120.3160019,+61 (0)8 9083 2100,esperance_admin@dbca.wa.gov.au,300,,
Frankland Campsite,-34.94999942,116.8115705,+61 (08) 9840 0400,frankland.district@dbca.wa.gov.au,10007,,
Frankland River Campsite,-34.94993003,116.811533,NULL,NULL,NULL,,
Galway Green,-33.25370261,115.7380593,+61 (08) 9725 4300,bunbury@dbca.wa.gov.au,NULL,,
Gardner Campsite,-34.72041299,116.1798245,NULL,NULL,NULL,,
Gardner State Forest,-34.66125044,116.1917877,NULL,NULL,NULL,,
Geikie Gorge,-18.07579994,125.7060013,+61 (0)8 9191 5112,broome@dbca.wa.gov.au,994,,
Ghost House Trail,-31.5378712,115.6889239,NULL,NULL,882,,
Ghost House Walk Trail,-31.53811352,115.6891063,+61 (0)8 9303 7759,yanchep@dbca.wa.gov.au,882,,
Giant Cave,-34.08935613,115.0432122,+61 (08) 9752 5555,blackwood@dbca.wa.gov.au,120,,
Giants Campsite,-34.97398667,116.9035006,NULL,NULL,NULL,,
Giants Cave,-34.05029489,115.0249109,NULL,NULL,NULL,,
Glen Mervyn Campsite,-33.50351021,116.1034025,+61 (08) 9735 1988,wellington@dbca.wa.gov.au,960,,
Glen Mervyn Dam,-33.50264776,116.1014771,+61 (08) 9735 1988,wellington@dbca.wa.gov.au,NULL,,
Gloucester,-34.44919968,116.0619965,+61 (0)8 9776 1207,pemberton@dbca.wa.gov.au,535,,
Gloucester Tree,-34.44783385,116.0565255,Donnelly District,donnellyd@dbca.wa.gov.au,NULL,,
Gnangara,-31.76079941,115.8990021,+61 (0)8 9303 7700,wanneroo@dbca.wa.gov.au,888,,
Gnangara Off Road Vehicle Area,-31.794498,115.914198,(08) 9303 7700,wanneroo@dbca.wa.gov.au,NULL,,
Gnangara Off-Road Motorcycle Area,-31.79471046,115.9153009,+61 (08) 9303 7700,wanneroo@dbca.wa.gov.au,888,,
Gnangara Road,-31.79619421,115.8992386,NULL,NULL,NULL,,
Gnangara-Moore River State Forest,-31.59144063,115.7952518,+61 (08) 9303 7700,wanneroo@dbca.wa.gov.au,888,,
Goat Farm Mountain Bike Park,-31.90590577,116.0550749,+61 (08) 9290 6100,mundaring@dbca.wa.gov.au,NULL,,
Goegrup Nature Reserve,-32.52245527,115.7932476,NULL,wanneroo@dbca.wa.gov.au,NULL,,
Golden Valley Tree Park,-33.80139923,115.9950027,+61 (08) 9752 5555,blackwood@dbca.wa.gov.au,36,,
Goldfields Woodlands,-31.14220047,120.4580002,+61 (08) 9080 5555,kalgoorlie@dbca.wa.gov.au,195,,
Goongarrie,-29.98180008,121.5029984,+61 (08) 9080 5555,kalgoorlie@dbca.wa.gov.au,196,,
Goongarrie Homestead,-30.0431349,121.1600987,+61 (08) 9080 5555,kalgoorlie@dbca.wa.gov.au,191,,
Gooseberry Hill,-31.94109917,116.0469971,+61 (08) 9290 6100,mundaring@dbca.wa.gov.au,717,,
"Granite Skywalk, Castle Rock, Porongurup National Park",-34.68859265,117.9296893,+61 (08) 9842 4500,albany@dbca.wa.gov.au,234,,
Graphite and Lindsay Forest Blocks,-34.28530426,115.9361458,+61 (0)8 9776 1207,donnellyd@dbca.wa.gov.au,NULL,,
Graphite and Lindsay State Forest,115.9361458,-34.28530426,+61 (0)8 9776 1207,donnellyd@dbca.wa.gov.au,NULL,,
Greater Beedelup,-34.37340164,115.8639984,+61 (0)8 9776 1207,donellyd@dbca.wa.gov.au,1114,,
Greater Beedelup National Park,-34.35661646,115.8340931,NULL,NULL,NULL,,
Greater Hawke,-34.56480026,115.9509964,+61 (0)8 9776 1207,donellyd@dbca.wa.gov.au,1150,,
Greater Kingston National Park,-34.11066754,116.3743973,NULL,NULL,NULL,,
Green Island,-34.19924682,115.9457588,+61 (08) 9776 1207,donnellyd@dbca.wa.gov.au,561,,
Greenbushes Loop,-33.84953228,116.0594845,61+ (08) 9764 3883,NULL,NULL,,
Greenbushes Loop Trail,-33.82939256,116.0160542,(08) 9752 5555,NULL,NULL,,
Greenmount,-31.91069984,116.0630035,+61 (0)8 9290 6100,mundaring@dbca.wa.gov.au,716,,
Greens Pool,-35.0231,117.236,+61 (0)8 9840 0400,frankland.district@dbca.wa.gov.au,303,,
Gregory Brook Campsite,-33.98258446,115.9382057,NULL,NULL,NULL,,
Grimwade,-33.68859353,116.0193157,+61 (0)8 9731 6232,blackwood@dbca.wa.gov.au,NULL,,
Grimwade Campsite,-33.65713826,116.026268,NULL,NULL,NULL,,
Gringer Creek Campsite,-32.5682989,116.4441991,NULL,NULL,NULL,,
"Grizzy Trail, Mt Lennard",-33.392093,115.8981255,NULL,NULL,NULL,,
Guillotines,-33.8273,114.996,Michelle Keppel,michelle.keppel@dbca.wa.gov.au,NULL,,
Gull Rock,-34.98209109,117.9933596,+61 (08) 9842 4500,albany@dbca.wa.gov.au,259,,
Guniyan Binba Conservation Park,-17.85165616,122.2086525,NULL,NULL,NULL,,
Hamelin Bay,-34.22072991,115.028389,+61 (08) 9752 5555,blackwood@dbca.wa.gov.au,NULL,,
Hamelin Pool,-26.21409988,114.1019974,+61 (08) 9948 2226,sharkbayenquiries@dpaw.wa.gov.au,859,,
Harewood Forest,-34.92749971,117.2932363,+61 (0)8 9840 0400,frankland.district@dbca.wa.gov.au,NULL,,
Harewood Forest Walk Trail,-34.92625502,117.2880059,NULL,NULL,NULL,,
Harewood State Forest,-34.92548973,117.3141146,+61 (0)8 9840 0400,frankland.district@dbca.wa.gov.au,NULL,,
Harris Dam Campsite,-33.24335364,116.1566019,NULL,NULL,NULL,,
Harris Dam picnic area car park,-33.25657893,116.1368716,NULL,NULL,10002,,
Harris River Dam,-33.25559204,116.1380196,NULL,NULL,NULL,,
Harris River State Forest,-33.28414686,116.0824871,+61 (08) 9735 1988,wellington@dbca.wa.gov.au,NULL,,
Harvey Quindanning Road,-33.01730026,116.2686539,NULL,NULL,NULL,,
Helena,-32.00206153,116.2438488,+61 (0)8 9290 6100,mundaring@dbca.wa.gov.au,855,,
Helena and Aurora Ranges Conservation Park,-30.37298183,119.6583733,NULL,NULL,NULL,,
Helena Campsite,-31.98188344,116.2484086,NULL,NULL,NULL,,
Helena National Park,-31.98323084,116.2481833,NULL,NULL,NULL,,
Helms Arboretum,-33.72590491,121.844328,+61 (08) 9083 2100,esperance_admin@dbca.wa.gov.au,NULL,,
Herdsman Lake,-31.92519951,115.8069992,+61 (0)8 9442 0300,regional.parks@dbca.wa.gov.au,902,,
Hester Avenue,-31.67000008,115.7300034, 08 9303 7700,NULL,NULL,,
Hewett's Hill Campsite,-31.95829496,116.128841,+61 (08) 9290 6100,mundaring@dbca.wa.gov.au,NULL,,
Hidden Island - Buccaneer Archipelago,-16.24895688,123.4877014,+61 (0)8 9195 5500,broome@dbca.wa.gov.au,NULL,,
Hilliger,-34.23149872,115.6959991,+61 (08) 9752 5555,blackwood@dbca.wa.gov.au,1129,,
Hoffman,-33.00230026,116.0889969,+61 (0)8 9735 1988,wellington@dbca.wa.gov.au,914,,
Houtman Abrolhos Islands,-28.2999976,113.5957146,+61 (0)8 9964 0901,geraldtonenquiries@dbca.wa.gov.au,1241,,
Houtman Abrolhos Islands National Park,-28.30136143,113.5957689,Kathy Redford,geraldtonenquiries@dbca.wa.gov.au,NULL,,
Hunters Beach,-21.802656,114.1089553,9947 8080,NULL,NULL,,
Injidup,-33.6906384,115.0062132,+61 (0)8 9752 5555,blackwood@dbca.wa.gov.au,NULL,,
Irwin Inlet,-35.02050767,116.9576168,NULL,NULL,NULL,,
Jandakot,-32.13990021,115.9219971,+61 (0)8 9442 0300,regional.parks@dbca.wa.gov.au,903,,
Jane,-34.62630081,116.2570038,+61 (0)8 9776 1207,donnellyd@dbca.wa.gov.au,538,,
Jarrahdale State Forest,-32.095119,116.163758,+61 (0)8 9290 6100,mundaring@dbca.wa.gov.au,NULL,,
Jarrahdene Campground,-34.11752494,115.0864542,NULL,NULL,NULL,,
Jaurdi,-30.81692,120.16226,NULL,NULL,NULL,,
Jimmy Newells Road,-35.11295723,117.9367125,+61 (08) 9842 4500,albany@dbca.wa.gov.au,234,,
Jinung Beiganup Hut,-34.90244574,117.2644562,+61 (08) 9840 0400,frankland.district@dbca.wa.gov.au,12007,,
John Forrest,-31.88229942,116.0820007,+61 (0)8 9290 6100,mundaring@dbca.wa.gov.au,710,,
